gesture,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20]
0.0,"0.340118944644928,0.430820107460022,-9.489306052046231e-08","0.352559894323349,0.4109644293785095,-0.008253274485468864","0.36156946420669556,0.38107195496559143,-0.012767814099788666","0.3569771647453308,0.356433629989624,-0.016709517687559128","0.3448531925678253,0.3505669832229614,-0.01889137551188469","0.34759294986724854,0.34770703315734863,-0.004373539704829454","0.35248464345932007,0.3347378075122833,-0.012875834479928017","0.3553037643432617,0.36090224981307983,-0.016775019466876984","0.3523057997226715,0.3656361401081085,-0.018860068172216415","0.33661746978759766,0.35137078166007996,-0.0042257425375282764","0.34178605675697327,0.34383857250213623,-0.012813052162528038","0.3471182882785797,0.37253040075302124,-0.014203080907464027","0.3432939648628235,0.37197449803352356,-0.013779012486338615","0.3278302252292633,0.36095690727233887,-0.005593666806817055","0.33333665132522583,0.358325719833374,-0.014679922722280025","0.3397679030895233,0.38252732157707214,-0.012216631323099136","0.33600229024887085,0.3826374113559723,-0.008958901278674603","0.32007157802581787,0.37304219603538513,-0.007643628399819136","0.32713940739631653,0.3733157515525818,-0.012817013077437878","0.3324183523654938,0.38847267627716064,-0.010516940616071224","0.3291129767894745,0.3904789686203003,-0.007758683525025845"
0.0,"0.3399321138858795,0.42970988154411316,-8.186243150021255e-08","0.35254237055778503,0.4122120141983032,-0.00865889061242342","0.3622123599052429,0.3812171220779419,-0.013055210933089256","0.3569209575653076,0.3558727502822876,-0.01666843146085739","0.3443271517753601,0.34918293356895447,-0.018306922167539597","0.3492729365825653,0.34825044870376587,-0.0040968372486531734","0.3528185784816742,0.3348727822303772,-0.012543892487883568","0.35528531670570374,0.3602791726589203,-0.016022806987166405","0.35225385427474976,0.3653901219367981,-0.01771511882543564","0.33788633346557617,0.35036319494247437,-0.0035674518439918756","0.34171032905578613,0.3430171012878418,-0.011907185427844524","0.3465820252895355,0.37180083990097046,-0.012695063836872578","0.3431955873966217,0.370482474565506,-0.01160774752497673","0.3286287486553192,0.35916170477867126,-0.004691855516284704","0.33371439576148987,0.3584853708744049,-0.013752911239862442","0.33966195583343506,0.38238269090652466,-0.010927745141088963","0.3361883759498596,0.3813377320766449,-0.007285511586815119","0.3203549087047577,0.37083500623703003,-0.006569967605173588","0.3273923397064209,0.37497517466545105,-0.012240049429237843","0.3324172794818878,0.3896595537662506,-0.010259849019348621","0.3290780186653137,0.3889898955821991,-0.007506172638386488"
0.0,"0.3398504853248596,0.43029412627220154,-7.320829809032148e-08","0.352363646030426,0.41213491559028625,-0.00916206743568182","0.3618510663509369,0.38197311758995056,-0.014175350777804852","0.3564317226409912,0.35714343190193176,-0.01829928532242775","0.3437080383300781,0.3501218557357788,-0.020472170785069466","0.3481593430042267,0.34872278571128845,-0.005154245998710394","0.35241642594337463,0.3358379900455475,-0.013775734230875969","0.3548183739185333,0.3608473539352417,-0.017386581748723984","0.3511470556259155,0.36544063687324524,-0.01921948231756687","0.33680450916290283,0.3512060046195984,-0.004513840191066265","0.3413912355899811,0.34401482343673706,-0.01263334508985281","0.34645041823387146,0.37301796674728394,-0.013404485769569874","0.34236934781074524,0.37033796310424805,-0.012582355178892612","0.32765495777130127,0.3603314161300659,-0.0055094570852816105","0.3331274092197418,0.35813453793525696,-0.014633537270128727","0.33935320377349854,0.38231512904167175,-0.011733918450772762","0.33515095710754395,0.3806825280189514,-0.00823560357093811","0.3194736838340759,0.37262824177742004,-0.007259659469127655","0.32676950097084045,0.37516382336616516,-0.013166016899049282","0.33208879828453064,0.38976171612739563,-0.011085069738328457","0.3282594680786133,0.38957345485687256,-0.008344816043972969"
0.0,"0.340080589056015,0.4290267527103424,-7.5347699635131e-08","0.3519543707370758,0.4125339090824127,-0.009617998264729977","0.3618435263633728,0.38289278745651245,-0.014706061221659184","0.3568175137042999,0.3576955795288086,-0.01885983906686306","0.3445643186569214,0.35013365745544434,-0.02102452702820301","0.34878039360046387,0.3495202362537384,-0.005477741360664368","0.352369487285614,0.33587905764579773,-0.014185557141900063","0.35475313663482666,0.36086153984069824,-0.01747235283255577","0.3513978123664856,0.36591607332229614,-0.018916282802820206","0.33760443329811096,0.35222411155700684,-0.004558311775326729","0.34148961305618286,0.3449781537055969,-0.01286772359162569","0.34643983840942383,0.37401387095451355,-0.013269418850541115","0.34273040294647217,0.3708735704421997,-0.01198329497128725","0.3284124433994293,0.3611077070236206,-0.00536091485992074","0.33292534947395325,0.3584555387496948,-0.014725666493177414","0.3390982747077942,0.3826833665370941,-0.011487620882689953","0.33548837900161743,0.3808238208293915,-0.00756528414785862","0.31975314021110535,0.37287068367004395,-0.006960295606404543","0.32622289657592773,0.3742195665836334,-0.01294104102998972","0.33158254623413086,0.38911575078964233,-0.010591295547783375","0.32835617661476135,0.3892121911048889,-0.007523251231759787"
0.0,"0.3401694595813751,0.4295782148838043,-7.40990415692977e-08","0.35247308015823364,0.4128144383430481,-0.009333021938800812","0.36220934987068176,0.3824751675128937,-0.01404652651399374","0.3568292558193207,0.3571842908859253,-0.017799992114305496","0.34443965554237366,0.3496396839618683,-0.019557658582925797","0.3490246534347534,0.34977105259895325,-0.004952241666615009","0.35257962346076965,0.33636483550071716,-0.013653522357344627","0.3549022972583771,0.3616686761379242,-0.017191188409924507","0.3516894280910492,0.36636555194854736,-0.018889883533120155","0.3376897871494293,0.35217252373695374,-0.0041681574657559395","0.3415866196155548,0.3444318175315857,-0.01286243088543415","0.3463974595069885,0.37365108728408813,-0.0138308210298419","0.34276431798934937,0.37175923585891724,-0.012850066646933556","0.3283189535140991,0.3609665334224701,-0.005059175658971071","0.3331317603588104,0.3588184416294098,-0.014576543122529984","0.33912330865859985,0.3831799328327179,-0.011829773895442486","0.3354668915271759,0.38159000873565674,-0.008197330869734287","0.31971389055252075,0.3726561367511749,-0.006697859615087509","0.32652461528778076,0.37546291947364807,-0.012686913833022118","0.3318289518356323,0.39039352536201477,-0.010620691813528538","0.3285507559776306,0.38991761207580566,-0.007774211931973696"
0.0,"0.3405413329601288,0.43014705181121826,-7.574772808993657e-08","0.35268688201904297,0.4134068191051483,-0.009255544282495975","0.3621537983417511,0.38242393732070923,-0.014070738106966019","0.35665813088417053,0.35716623067855835,-0.017962127923965454","0.34410810470581055,0.35014671087265015,-0.019876617938280106","0.348846971988678,0.34913700819015503,-0.00487574003636837","0.35288095474243164,0.33655551075935364,-0.013411064632236958","0.3549945056438446,0.36162757873535156,-0.016757020726799965","0.3514624536037445,0.3658931255340576,-0.01833164319396019","0.33740317821502686,0.35169440507888794,-0.004159762058407068","0.3418668508529663,0.3445812165737152,-0.012513609603047371","0.3464833199977875,0.3739417493343353,-0.013146569021046162","0.3424895405769348,0.3711528480052948,-0.011966944672167301","0.3281346559524536,0.36069610714912415,-0.005118163768202066","0.3334541320800781,0.359085351228714,-0.01452450267970562","0.33937373757362366,0.38359081745147705,-0.011610141955316067","0.335435688495636,0.38183918595314026,-0.007850770838558674","0.3198833465576172,0.3725808560848236,-0.006816224195063114","0.32703059911727905,0.3742767572402954,-0.012786267325282097","0.3321567177772522,0.3895117938518524,-0.010547500103712082","0.32845279574394226,0.38956257700920105,-0.0075393859297037125"
0.0,"0.3405104875564575,0.4280533194541931,-7.719423678054227e-08","0.3529219925403595,0.41173824667930603,-0.009071138687431812","0.36274486780166626,0.3807666599750519,-0.013704868964850903","0.3574185371398926,0.3549129068851471,-0.01740391179919243","0.34447145462036133,0.348691463470459,-0.01912711001932621","0.348571240901947,0.34790804982185364,-0.004719935357570648","0.35303059220314026,0.33464738726615906,-0.01288718543946743","0.35528966784477234,0.3607405722141266,-0.01599651575088501","0.3517991006374359,0.3646306097507477,-0.017551956698298454","0.3377108871936798,0.35047221183776855,-0.00399683928117156","0.34240272641181946,0.3422028422355652,-0.012302521616220474","0.34699827432632446,0.3720512390136719,-0.012837056070566177","0.34323927760124207,0.37000730633735657,-0.011561892926692963","0.32882317900657654,0.35947251319885254,-0.0048857503570616245","0.3343469202518463,0.3567965626716614,-0.013945868238806725","0.3402339816093445,0.381369948387146,-0.010861244983971119","0.33649101853370667,0.3799234926700592,-0.007032488007098436","0.3207787573337555,0.37100785970687866,-0.006522706709802151","0.3279140293598175,0.3726229667663574,-0.01206375565379858","0.3329100012779236,0.38761958479881287,-0.009766995906829834","0.3293341398239136,0.3876926898956299,-0.006819114089012146"
0.0,"0.34413063526153564,0.4215550124645233,-7.110106992058718e-08","0.3552115261554718,0.404229998588562,-0.008515847846865654","0.36445510387420654,0.3756581246852875,-0.013370723463594913","0.3610687553882599,0.35112643241882324,-0.01754678599536419","0.3495279848575592,0.34227731823921204,-0.019968263804912567","0.35119399428367615,0.34202462434768677,-0.005071557126939297","0.35694488883018494,0.3287877142429352,-0.013527825474739075","0.35928404331207275,0.3524893522262573,-0.01688261888921261","0.35531482100486755,0.3590061068534851,-0.01829863339662552","0.3406330347061157,0.3449787497520447,-0.004561539739370346","0.34592509269714355,0.3381449580192566,-0.012481356039643288","0.35082632303237915,0.3666960597038269,-0.012911645695567131","0.3469378352165222,0.3656047582626343,-0.011755597777664661","0.33179524540901184,0.35394296050071716,-0.005606040358543396","0.3373917043209076,0.35088056325912476,-0.014582915231585503","0.34350037574768066,0.374967485666275,-0.011582301929593086","0.33941948413848877,0.37534573674201965,-0.007912786677479744","0.3234078884124756,0.3657956123352051,-0.007316026370972395","0.33079996705055237,0.36575961112976074,-0.013033499009907246","0.3356502056121826,0.3806680738925934,-0.010689299553632736","0.33177125453948975,0.3823975920677185,-0.007688661105930805"
0.0,"0.35234543681144714,0.4117107093334198,-9.1130466728373e-08","0.3655097186565399,0.3949795365333557,-0.007615503389388323","0.3767322301864624,0.36609241366386414,-0.012150068767368793","0.37288644909858704,0.3394874930381775,-0.016236908733844757","0.36109647154808044,0.3291497528553009,-0.0184521172195673","0.36378613114356995,0.330181360244751,-0.003095635212957859","0.37033137679100037,0.3188477158546448,-0.01185719482600689","0.3715604543685913,0.34376704692840576,-0.015358314849436283","0.36771145462989807,0.34879234433174133,-0.016910390928387642","0.352180153131485,0.33062106370925903,-0.0031831786036491394","0.35915902256965637,0.3251042664051056,-0.011453401297330856","0.3623378872871399,0.35509106516838074,-0.011827913112938404","0.35824087262153625,0.3532103896141052,-0.010453375987708569","0.34296321868896484,0.3383827805519104,-0.004966838750988245","0.3508155643939972,0.338645875453949,-0.013751096092164516","0.35505345463752747,0.3635067343711853,-0.010388747788965702","0.35071688890457153,0.36219286918640137,-0.006519395858049393","0.3344714045524597,0.34952494502067566,-0.007463217247277498","0.3432614207267761,0.352508544921875,-0.012670102529227734","0.3474277853965759,0.3685515224933624,-0.010202217847108841","0.3437204360961914,0.36869847774505615,-0.0072049410082399845"
0.0,"0.3611268103122711,0.40623387694358826,-9.792747590608997e-08","0.37479403614997864,0.3902256488800049,-0.007266601547598839","0.38620299100875854,0.36250120401382446,-0.01201812643557787","0.38401639461517334,0.3366266191005707,-0.016382962465286255","0.3728296756744385,0.32671815156936646,-0.018946072086691856","0.3738592565059662,0.32477661967277527,-0.004346673376858234","0.38180673122406006,0.3150724768638611,-0.013046220876276493","0.3822404146194458,0.33949369192123413,-0.016607001423835754","0.3771185874938965,0.3442050814628601,-0.018288910388946533","0.36238545179367065,0.3242383897304535,-0.004700507968664169","0.3706916868686676,0.3222796320915222,-0.012465733103454113","0.3732678294181824,0.3511853814125061,-0.012878211215138435","0.3684206008911133,0.34807074069976807,-0.011895275674760342","0.35314857959747314,0.3316177427768707,-0.006527457386255264","0.36197447776794434,0.3334597051143646,-0.015019270591437817","0.3656921088695526,0.35829201340675354,-0.011974554508924484","0.3606421649456024,0.35682573914527893,-0.008536606095731258","0.3449878394603729,0.3426057696342468,-0.00899925921112299","0.35452187061309814,0.3469833731651306,-0.014444824308156967","0.35795414447784424,0.3626263737678528,-0.01235143467783928","0.35354021191596985,0.36254221200942993,-0.009648545645177364"
