gesture,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20]
0.0,"0.256196528673172,0.4645298719406128,-1.1768678831458601e-07","0.2847070097923279,0.4703802168369293,-0.019572770223021507","0.3175423741340637,0.4144700765609741,-0.02544308267533779","0.31602969765663147,0.35246315598487854,-0.027578210458159447","0.2915976345539093,0.3326886296272278,-0.026968320831656456","0.293766587972641,0.3576122522354126,-0.0180186964571476","0.29847559332847595,0.3279532790184021,-0.03215041011571884","0.2981965243816376,0.3747987449169159,-0.035069406032562256","0.2959206998348236,0.3926745057106018,-0.03484450653195381","0.269934743642807,0.352620929479599,-0.014341680333018303","0.27521592378616333,0.3186947703361511,-0.03305540978908539","0.2785128057003021,0.38199013471603394,-0.03491510823369026","0.2757485508918762,0.402667373418808,-0.030988570302724838","0.24805018305778503,0.3573419153690338,-0.012876112945377827","0.2548801302909851,0.33160945773124695,-0.03332167863845825","0.2596418559551239,0.39339929819107056,-0.027162684127688408","0.2553185820579529,0.41290637850761414,-0.017398299649357796","0.2250077724456787,0.3674856126308441,-0.012279593385756016","0.2362038791179657,0.34694916009902954,-0.024469450116157532","0.2413080334663391,0.3884240984916687,-0.018509570509195328","0.2376248985528946,0.4023321270942688,-0.010910647921264172"
0.0,"0.25272732973098755,0.4860355854034424,-1.8627117981395713e-07","0.2844017446041107,0.47969889640808105,-0.01523386500775814","0.3160145878791809,0.41420072317123413,-0.018456168472766876","0.3138161599636078,0.34942466020584106,-0.019263237714767456","0.28632473945617676,0.3404294550418854,-0.0171867273747921","0.28914952278137207,0.34885379672050476,-0.008777067065238953","0.29472148418426514,0.3137552738189697,-0.020637651905417442","0.29455316066741943,0.3674200177192688,-0.023353949189186096","0.2913108170032501,0.38420265913009644,-0.023587213829159737","0.2662825882434845,0.3496364653110504,-0.00663459999486804","0.2736404836177826,0.31614312529563904,-0.021839577704668045","0.2771758437156677,0.3837476372718811,-0.022559668868780136","0.27163803577423096,0.39650920033454895,-0.0185879897326231","0.2450808882713318,0.358195960521698,-0.006644947919994593","0.2513861060142517,0.3313829004764557,-0.02488490752875805","0.2582174241542816,0.3944219648838043,-0.018487652763724327","0.25231823325157166,0.4079146385192871,-0.009239448234438896","0.2217036485671997,0.3702933192253113,-0.007280411664396524","0.2329089343547821,0.3466428816318512,-0.01781763881444931","0.2397427260875702,0.3894995450973511,-0.010931924916803837","0.23468178510665894,0.40224409103393555,-0.003004681784659624"
0.0,"0.25130629539489746,0.48675838112831116,-2.131137932792626e-07","0.28363490104675293,0.4784570634365082,-0.014686532318592072","0.3144608438014984,0.41095542907714844,-0.018015891313552856","0.31153008341789246,0.3455321192741394,-0.01928260177373886","0.2837390601634979,0.3384121060371399,-0.01774173229932785","0.2876472473144531,0.3473990857601166,-0.00856353435665369","0.29294300079345703,0.3084138333797455,-0.02074996568262577","0.2933942973613739,0.3637295365333557,-0.024246355518698692","0.29044049978256226,0.38096728920936584,-0.02521882951259613","0.2647680342197418,0.34966903924942017,-0.00683190580457449","0.2711256444454193,0.3147580027580261,-0.02214769273996353","0.2754882276058197,0.38134709000587463,-0.0232867244631052","0.2697330415248871,0.3930419385433197,-0.019973058253526688","0.24361613392829895,0.3589102327823639,-0.007231892552226782","0.2494569569826126,0.3302265405654907,-0.025064755231142044","0.2569534182548523,0.3915194272994995,-0.018883390352129936","0.25119227170944214,0.4039859473705292,-0.010198988951742649","0.22018980979919434,0.371014803647995,-0.00828454177826643","0.23139981925487518,0.3458270728588104,-0.01826411858201027","0.23865056037902832,0.3871842324733734,-0.011398480273783207","0.2335326224565506,0.3997012674808502,-0.003805512096732855"
0.0,"0.24784982204437256,0.48704084753990173,-2.1481906742337742e-07","0.28127920627593994,0.47443127632141113,-0.013475529849529266","0.3117242753505707,0.410407692193985,-0.01671074889600277","0.30930519104003906,0.3454180061817169,-0.018443722277879715","0.28184619545936584,0.33496764302253723,-0.01753072440624237","0.2870398163795471,0.34865179657936096,-0.006390765309333801","0.29183900356292725,0.30705180764198303,-0.018660003319382668","0.29195713996887207,0.36071228981018066,-0.02270234003663063","0.28949713706970215,0.3798821270465851,-0.023894719779491425","0.2643789052963257,0.34993305802345276,-0.005387634038925171","0.2698262631893158,0.3113724887371063,-0.020730333402752876","0.27376940846443176,0.37575602531433105,-0.022518783807754517","0.26905548572540283,0.39110565185546875,-0.01958136074244976","0.2430005967617035,0.3584192991256714,-0.006491674575954676","0.247911736369133,0.3257358968257904,-0.02435729093849659","0.25472724437713623,0.3861221671104431,-0.018550993874669075","0.24976590275764465,0.4019658863544464,-0.009844630025327206","0.21907983720302582,0.3705011308193207,-0.00818787794560194","0.22930532693862915,0.3415565490722656,-0.018203523010015488","0.2366112619638443,0.3815550208091736,-0.011348651722073555","0.2324722707271576,0.39607179164886475,-0.003548091510310769"
0.0,"0.24720896780490875,0.4875730574131012,-1.942120917419743e-07","0.2803410589694977,0.46911194920539856,-0.012988337315618992","0.31001079082489014,0.407451331615448,-0.016500024124979973","0.3077251613140106,0.3441160023212433,-0.018870944157242775","0.28064849972724915,0.332153856754303,-0.01885461062192917","0.28557726740837097,0.3463931679725647,-0.004823198541998863","0.29010212421417236,0.3046574294567108,-0.01747278869152069","0.2900887727737427,0.35594063997268677,-0.022642305120825768","0.28768593072891235,0.37752196192741394,-0.024344729259610176","0.2632356286048889,0.3476622998714447,-0.00406161742284894","0.2673756182193756,0.3093753755092621,-0.01876707561314106","0.27150827646255493,0.37180376052856445,-0.021030155941843987","0.26767417788505554,0.3895083963871002,-0.018627354875206947","0.2418849617242813,0.3558025360107422,-0.005490029696375132","0.24599990248680115,0.32137295603752136,-0.022679651156067848","0.25264593958854675,0.3805537819862366,-0.017190659418702126","0.24837474524974823,0.3989514112472534,-0.008765755221247673","0.21786989271640778,0.36826092004776,-0.007545829750597477","0.2272050976753235,0.3360089361667633,-0.017155412584543228","0.2344861626625061,0.37513267993927,-0.010185517370700836","0.23109108209609985,0.39219847321510315,-0.0022456056904047728"
0.0,"0.24489238858222961,0.4870259463787079,-1.8736155027454515e-07","0.2786023020744324,0.464884877204895,-0.012990463525056839","0.3086109757423401,0.40536606311798096,-0.016749698668718338","0.30560025572776794,0.34312063455581665,-0.019526468589901924","0.2785477340221405,0.3294318616390228,-0.019884122535586357","0.2848285436630249,0.34577131271362305,-0.0035770360846072435","0.28994789719581604,0.3043297231197357,-0.01619803160429001","0.28955864906311035,0.3547358810901642,-0.021294113248586655","0.2868210971355438,0.3759273588657379,-0.022870786488056183","0.2622596323490143,0.3459387421607971,-0.002879420528188348","0.2667236626148224,0.30685144662857056,-0.017566030845046043","0.27059778571128845,0.3689405918121338,-0.01986253447830677","0.26709434390068054,0.3869926631450653,-0.017394891008734703","0.2405429184436798,0.3536851406097412,-0.004464445170015097","0.24506904184818268,0.31883370876312256,-0.022000590339303017","0.2513771951198578,0.37850311398506165,-0.016589470207691193","0.247090682387352,0.3978089690208435,-0.008010102435946465","0.21592402458190918,0.366585910320282,-0.006648574490100145","0.22606247663497925,0.33382537961006165,-0.01641455851495266","0.23319990932941437,0.37314268946647644,-0.009344362653791904","0.22952821850776672,0.3906806409358978,-0.0012034233659505844"
0.0,"0.24321141839027405,0.48212486505508423,-2.1644427761202678e-07","0.2762201428413391,0.4678364098072052,-0.0125111760571599","0.305898517370224,0.4028438925743103,-0.015107677318155766","0.3036623001098633,0.33916598558425903,-0.01649298332631588","0.2762811779975891,0.3297884464263916,-0.015276710502803326","0.28201985359191895,0.3419482111930847,-0.00551981246098876","0.2863369584083557,0.29971033334732056,-0.01796279288828373","0.2858436107635498,0.3522147238254547,-0.02227093279361725","0.28311216831207275,0.3726670444011688,-0.02352050133049488","0.2596539258956909,0.34393465518951416,-0.004822663031518459","0.2638523578643799,0.305347740650177,-0.019662922248244286","0.26794955134391785,0.3691317141056061,-0.020986979827284813","0.2640743553638458,0.38411110639572144,-0.01798180676996708","0.2386379837989807,0.35245367884635925,-0.006270174402743578","0.24235846102237701,0.31915682554244995,-0.02368396520614624","0.24892209470272064,0.3792528212070465,-0.017426753416657448","0.2444739043712616,0.3951655328273773,-0.00865303073078394","0.21479350328445435,0.3638460338115692,-0.008313641883432865","0.22360551357269287,0.3342266380786896,-0.01790733076632023","0.23057381808757782,0.3743373155593872,-0.01078321784734726","0.22688889503479004,0.3897417187690735,-0.002976068062707782"
0.0,"0.23743996024131775,0.48728111386299133,-2.135331271801988e-07","0.2709111273288727,0.47188615798950195,-0.013897407799959183","0.3015553951263428,0.4049167335033417,-0.016954438760876656","0.2982606589794159,0.3408372700214386,-0.018589306622743607","0.2702499330043793,0.33385616540908813,-0.017340006306767464","0.2788279056549072,0.3414161205291748,-0.004961610771715641","0.283649206161499,0.30206939578056335,-0.017471058294177055","0.28290456533432007,0.3570372760295868,-0.022012921050190926","0.28046441078186035,0.3734191060066223,-0.023915978148579597","0.256161093711853,0.3432912230491638,-0.004187064711004496","0.26201483607292175,0.30666714906692505,-0.019672637805342674","0.2656213045120239,0.3725956380367279,-0.02141067385673523","0.26122745871543884,0.38436299562454224,-0.01854822412133217","0.23477023839950562,0.35249656438827515,-0.0058318208903074265","0.23954211175441742,0.3226824104785919,-0.02442319504916668","0.24606028199195862,0.38469576835632324,-0.018616411834955215","0.2410171627998352,0.39748430252075195,-0.00986866932362318","0.21113483607769012,0.36517196893692017,-0.008148020133376122","0.2211156189441681,0.3393399715423584,-0.018479911610484123","0.22764095664024353,0.3803454339504242,-0.011507097631692886","0.22278641164302826,0.39289551973342896,-0.0037119893822818995"
0.0,"0.2365362048149109,0.4898713231086731,-2.1097687863402825e-07","0.2688962519168854,0.4736180901527405,-0.012908601202070713","0.29791560769081116,0.40552303194999695,-0.015687335282564163","0.29559069871902466,0.34225112199783325,-0.017297940328717232","0.2678161859512329,0.33805787563323975,-0.016127265989780426","0.2734411656856537,0.3411068916320801,-0.004878709092736244","0.27979016304016113,0.3029259443283081,-0.01669378951191902","0.27933576703071594,0.35855603218078613,-0.021142419427633286","0.2758239209651947,0.3737349808216095,-0.023394733667373657","0.2515208423137665,0.3449257016181946,-0.0046790349297225475","0.25810369849205017,0.3096405863761902,-0.018881866708397865","0.2621244490146637,0.37461018562316895,-0.020263515412807465","0.2566770613193512,0.38454365730285645,-0.01790507696568966","0.2305925190448761,0.35597673058509827,-0.00675874063745141","0.23663447797298431,0.326228529214859,-0.023995786905288696","0.24371419847011566,0.3871004283428192,-0.018029510974884033","0.23791363835334778,0.3986853361129761,-0.009968948550522327","0.20776426792144775,0.3701452612876892,-0.009507234208285809","0.21850235760211945,0.34474948048591614,-0.01923288404941559","0.22545109689235687,0.3849565386772156,-0.012348674237728119","0.2200711965560913,0.3970116674900055,-0.0051253740675747395"
0.0,"0.24123769998550415,0.4892497956752777,-1.7460010326431075e-07","0.27267345786094666,0.4602491557598114,-0.011965488083660603","0.29911544919013977,0.3945794105529785,-0.015830758959054947","0.29706501960754395,0.3353424072265625,-0.01873929239809513","0.270754337310791,0.3320280611515045,-0.019022127613425255","0.26834994554519653,0.3353923261165619,-0.006457258015871048","0.2746662199497223,0.29987308382987976,-0.018626734614372253","0.27793455123901367,0.35370802879333496,-0.022609837353229523","0.27419477701187134,0.3711099922657013,-0.024037297815084457","0.24654385447502136,0.3422420024871826,-0.006741013843566179","0.2539355754852295,0.3104493021965027,-0.020267721265554428","0.2609279155731201,0.37311071157455444,-0.020876990631222725","0.25541070103645325,0.38325294852256775,-0.01839708723127842","0.22634033858776093,0.35525602102279663,-0.009145199321210384","0.23543184995651245,0.3299781084060669,-0.025710389018058777","0.24413001537322998,0.3864601254463196,-0.020148877054452896","0.23791906237602234,0.3965461552143097,-0.01267815101891756","0.20514807105064392,0.37231817841529846,-0.012093950062990189","0.21869471669197083,0.3463020324707031,-0.02115093171596527","0.22669818997383118,0.38308659195899963,-0.014393444173038006","0.22060886025428772,0.3955671489238739,-0.007415139582008123"
