position,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32]
left,"0.36329782009124756,0.3401738405227661,-0.4747770130634308","0.36519983410835266,0.2946019172668457,-0.41558220982551575","0.37261009216308594,0.2927132248878479,-0.4155352711677551","0.3797663748264313,0.29174643754959106,-0.4152641296386719","0.3393791913986206,0.30845344066619873,-0.4248083829879761","0.32963305711746216,0.31606245040893555,-0.4244491457939148","0.3195077180862427,0.3240470290184021,-0.4246053397655487","0.3886931240558624,0.3279414176940918,-0.15186402201652527","0.30298978090286255,0.367480993270874,-0.17904120683670044","0.38638046383857727,0.38819509744644165,-0.3886190950870514","0.3521786034107208,0.4028586149215698,-0.3978714346885681","0.5102036595344543,0.5878970623016357,-0.05899795517325401","0.2531700134277344,0.6935625076293945,-0.17711247503757477","0.6559587717056274,0.658251941204071,-0.10157163441181183","0.16412276029586792,0.7516629099845886,-0.519170343875885","0.8068661093711853,0.5283024907112122,-0.2046104073524475","0.13320425152778625,0.5033885836601257,-0.7791448831558228","0.8843579888343811,0.5012325644493103,-0.1983826458454132","0.12126564979553223,0.41778498888015747,-0.8225011825561523","0.8778526186943054,0.46986478567123413,-0.22811542451381683","0.12712600827217102,0.40575551986694336,-0.7902066111564636","0.8459824323654175,0.4930870234966278,-0.2278261035680771","0.14010879397392273,0.44329386949539185,-0.783278226852417","0.5327793955802917,1.2652409076690674,-0.03728083148598671","0.34041377902030945,1.3172929286956787,0.04029969125986099","0.5557017922401428,1.7716546058654785,-0.002236135071143508","0.37887805700302124,1.8314058780670166,0.1716272383928299","0.5640552639961243,2.2127137184143066,0.388216495513916","0.3963465392589569,2.265695333480835,0.5133189558982849","0.567015528678894,2.269958019256592,0.4076865017414093","0.39206352829933167,2.321324348449707,0.5387846231460571","0.5741243362426758,2.3666815757751465,0.05745268240571022","0.43965694308280945,2.420988082885742,0.1427432745695114"
left,"0.3669041693210602,0.35726484656333923,-0.6044405102729797","0.367107093334198,0.3087223172187805,-0.5337451100349426","0.37409350275993347,0.30700618028640747,-0.5336014628410339","0.3809642493724823,0.3059307634830475,-0.5332505106925964","0.34405744075775146,0.3214721977710724,-0.5448338389396667","0.33480337262153625,0.32878369092941284,-0.5444432497024536","0.3254440426826477,0.33615735173225403,-0.5446210503578186","0.39218148589134216,0.3403899669647217,-0.1915133148431778","0.30818238854408264,0.37964633107185364,-0.23013636469841003","0.3886808156967163,0.4063683748245239,-0.4865725338459015","0.3582921624183655,0.41851750016212463,-0.49880096316337585","0.5135470628738403,0.5907608270645142,-0.04761429876089096","0.2544543445110321,0.693852961063385,-0.22260038554668427","0.6621930003166199,0.6704256534576416,-0.103141188621521","0.16399556398391724,0.7458032965660095,-0.6814022064208984","0.8064518570899963,0.5299715399742126,-0.29861754179000854","0.16552779078483582,0.5385163426399231,-1.1112462282180786","0.8792295455932617,0.5014395713806152,-0.3185841739177704","0.16504812240600586,0.48046818375587463,-1.181668758392334","0.8730802536010742,0.47198036313056946,-0.3482601046562195","0.1832837462425232,0.462197870016098,-1.154739260673523","0.8432950973510742,0.4930722415447235,-0.32410112023353577","0.19068148732185364,0.49455350637435913,-1.1165016889572144","0.5398165583610535,1.286647081375122,-0.03010355494916439","0.3403732478618622,1.3336774110794067,0.03345115855336189","0.5609164834022522,1.810038447380066,0.00862070918083191","0.3783644139766693,1.8596110343933105,0.1508672833442688","0.571183979511261,2.2690188884735107,0.4220055341720581","0.3966591954231262,2.312357187271118,0.49973800778388977","0.5749181509017944,2.330803632736206,0.44036346673965454","0.39228901267051697,2.3700287342071533,0.5229439735412598","0.5770623087882996,2.4195187091827393,0.05767374113202095","0.4415777027606964,2.4671967029571533,0.08335665613412857"
left,"0.367807537317276,0.3708193004131317,-0.5670424103736877","0.36786019802093506,0.32054847478866577,-0.5007993578910828","0.3747639060020447,0.3189321458339691,-0.5006501078605652","0.3815692365169525,0.3178900182247162,-0.500305712223053","0.3452417254447937,0.332501083612442,-0.5082851648330688","0.3361542820930481,0.3390631079673767,-0.5078898668289185","0.3270381987094879,0.34560805559158325,-0.5080332159996033","0.39393550157546997,0.3503899574279785,-0.18403291702270508","0.3109169602394104,0.3864690363407135,-0.22897714376449585","0.38950595259666443,0.4193263053894043,-0.4603624939918518","0.3599800169467926,0.4305433928966522,-0.4684958755970001","0.5146827697753906,0.5969453454017639,-0.04533475264906883","0.2545849680900574,0.6942224502563477,-0.20993439853191376","0.6626997590065002,0.6699751019477844,-0.0691261738538742","0.1542423814535141,0.7276144027709961,-0.6246864795684814","0.8058286905288696,0.5316031575202942,-0.19498832523822784","0.1670035421848297,0.4300352931022644,-1.0174189805984497","0.8772475719451904,0.5018232464790344,-0.20820020139217377","0.15952524542808533,0.37560322880744934,-1.0846422910690308","0.8701570630073547,0.4752436876296997,-0.24080371856689453","0.18502500653266907,0.3740050494670868,-1.0527268648147583","0.841343104839325,0.4939033091068268,-0.2199191302061081","0.18355496227741241,0.4814889430999756,-1.022915244102478","0.5395703911781311,1.298462152481079,-0.030430356040596962","0.3374422788619995,1.344440221786499,0.03384315222501755","0.5608627200126648,1.8291749954223633,-0.007308743894100189","0.3743215799331665,1.8785123825073242,0.12847596406936646","0.5710469484329224,2.2958531379699707,0.3671487271785736","0.3943580090999603,2.3423538208007812,0.4336673319339752","0.5748347043991089,2.356508493423462,0.3815475404262543","0.39002856612205505,2.4011597633361816,0.4523621201515198","0.5768571496009827,2.4525341987609863,-0.00580212427303195","0.43915054202079773,2.498986005783081,0.015544889494776726"
left,"0.3677482008934021,0.3782350718975067,-0.5716654062271118","0.3680199980735779,0.32908177375793457,-0.5073134899139404","0.3749855160713196,0.32785987854003906,-0.5071495771408081","0.38186556100845337,0.327397882938385,-0.5068424344062805","0.3453364670276642,0.3401043117046356,-0.5114274621009827","0.3363396227359772,0.3460782766342163,-0.5110116004943848","0.32736846804618835,0.3519665002822876,-0.5111516118049622","0.39508554339408875,0.3598383665084839,-0.18794281780719757","0.3122533857822418,0.39183562994003296,-0.22086893022060394","0.389484703540802,0.42599162459373474,-0.46293991804122925","0.35974282026290894,0.43621397018432617,-0.46682557463645935","0.514953076839447,0.5974488854408264,-0.04468788206577301","0.25549790263175964,0.6941871643066406,-0.20675615966320038","0.6640575528144836,0.6692834496498108,-0.054550666362047195","0.15022419393062592,0.7203285694122314,-0.643693745136261","0.8056994676589966,0.5305742621421814,-0.16796578466892242","0.16986948251724243,0.43151694536209106,-1.0889323949813843","0.8753553628921509,0.5016951560974121,-0.17818738520145416","0.16145828366279602,0.37675195932388306,-1.1643269062042236","0.8681944012641907,0.47546109557151794,-0.21420608460903168","0.1843714416027069,0.3497660160064697,-1.1333632469177246","0.8403298854827881,0.49327874183654785,-0.19374360144138336","0.19019970297813416,0.42805102467536926,-1.0959457159042358","0.5393218398094177,1.3000251054763794,-0.03028779663145542","0.33648204803466797,1.345104694366455,0.033644940704107285","0.5607357025146484,1.8301279544830322,-0.00879506766796112","0.37355393171310425,1.8787728548049927,0.11422039568424225","0.5707775354385376,2.2975547313690186,0.36221829056739807","0.3940281271934509,2.3454413414001465,0.4145493507385254","0.5744978785514832,2.3570146560668945,0.3764393925666809","0.38971981406211853,2.4039835929870605,0.43261903524398804","0.5764715075492859,2.4534783363342285,-0.011717798188328743","0.43779438734054565,2.500678300857544,-0.007291396614164114"
left,"0.3722161054611206,0.3781539797782898,-0.5653542876243591","0.3707318902015686,0.3298688232898712,-0.4990693926811218","0.37731751799583435,0.32850411534309387,-0.4989279806613922","0.3837584853172302,0.32779937982559204,-0.4986266493797302","0.34874656796455383,0.3409910500049591,-0.5085986256599426","0.3394993841648102,0.3471866250038147,-0.5082197785377502","0.3303621709346771,0.35334599018096924,-0.508371114730835","0.39567336440086365,0.35996687412261963,-0.18395158648490906","0.31339940428733826,0.3939003050327301,-0.2198803871870041","0.39276885986328125,0.4256289005279541,-0.45747110247612","0.3644256591796875,0.4363197088241577,-0.4677481949329376","0.5154168605804443,0.5980581641197205,-0.03905046731233597","0.2557484805583954,0.6970627903938293,-0.21372880041599274","0.6659942865371704,0.6690238118171692,-0.051362521946430206","0.14839550852775574,0.7206754684448242,-0.6250130534172058","0.8065269589424133,0.5289467573165894,-0.17658966779708862","0.17537321150302887,0.42849794030189514,-0.9934627413749695","0.8755861520767212,0.49874916672706604,-0.18466322124004364","0.1660134196281433,0.3524009585380554,-1.0578688383102417","0.8683329820632935,0.4701014459133148,-0.21805568039417267","0.19025106728076935,0.3384462594985962,-1.0251929759979248","0.8410043120384216,0.48537853360176086,-0.2027149498462677","0.20001940429210663,0.44218146800994873,-0.9982172250747681","0.5398445129394531,1.3079543113708496,-0.028605826199054718","0.3365117013454437,1.3554970026016235,0.03195638582110405","0.5621724724769592,1.840180516242981,-0.009215996600687504","0.3738994002342224,1.8893485069274902,0.10423118621110916","0.5722625851631165,2.309661865234375,0.36304664611816406","0.39485853910446167,2.3571972846984863,0.41400146484375","0.5760412216186523,2.3692641258239746,0.37779247760772705","0.39051583409309387,2.416449785232544,0.4327825605869293","0.5778661966323853,2.4660651683807373,-0.009392386302351952","0.438199907541275,2.5112383365631104,-0.008080852217972279"
left,"0.37406253814697266,0.3761182725429535,-0.49014562368392944","0.3712391257286072,0.3280688226222992,-0.42824724316596985","0.377670556306839,0.3266451954841614,-0.42807692289352417","0.3839726746082306,0.32590219378471375,-0.4277532398700714","0.34933751821517944,0.3394748270511627,-0.4366914927959442","0.34001001715660095,0.3458121120929718,-0.43632346391677856","0.3308238387107849,0.352144718170166,-0.4364625811576843","0.3955603837966919,0.35853710770606995,-0.14333949983119965","0.31366053223609924,0.392954021692276,-0.17403340339660645","0.39467915892601013,0.4236795902252197,-0.39524325728416443","0.36657142639160156,0.43476688861846924,-0.40484917163848877","0.5154870748519897,0.5981728434562683,-0.029647445306181908","0.2560398578643799,0.6972143054008484,-0.18401221930980682","0.6687975525856018,0.6688582897186279,-0.05695279687643051","0.14628039300441742,0.7217072248458862,-0.5882031917572021","0.8065366148948669,0.5249123573303223,-0.18185503780841827","0.17143897712230682,0.41091832518577576,-0.942133903503418","0.8754415512084961,0.49683141708374023,-0.18808136880397797","0.1637631058692932,0.3259465992450714,-1.0034995079040527","0.8684739470481873,0.4652132987976074,-0.2210092842578888","0.18250054121017456,0.3183388411998749,-0.9601524472236633","0.841056227684021,0.4772884249687195,-0.20753894746303558","0.19243234395980835,0.38580816984176636,-0.9445445537567139","0.5398687124252319,1.3078360557556152,-0.028800854459404945","0.336579829454422,1.3556718826293945,0.03213288635015488","0.5629720091819763,1.8445662260055542,-0.01740613393485546","0.37516963481903076,1.89173424243927,0.07226607203483582","0.5727669596672058,2.314237356185913,0.3299456536769867","0.3960022032260895,2.3594133853912354,0.34705817699432373","0.5763946771621704,2.372556447982788,0.3432965874671936","0.39143943786621094,2.4179975986480713,0.363322377204895","0.5794346332550049,2.472454071044922,-0.025456737726926804","0.438788503408432,2.51542067527771,-0.06134630739688873"
left,"0.3749535381793976,0.37498700618743896,-0.4966640770435333","0.3720293343067169,0.32685327529907227,-0.4344111979007721","0.3784165382385254,0.32539066672325134,-0.4342651665210724","0.3846849799156189,0.32462722063064575,-0.4339504539966583","0.34994861483573914,0.33842602372169495,-0.44302132725715637","0.34042102098464966,0.34484177827835083,-0.44264861941337585","0.3310610353946686,0.35127881169319153,-0.4427899718284607","0.39562737941741943,0.35752710700035095,-0.14582251012325287","0.313612163066864,0.392291784286499,-0.17431563138961792","0.3958341181278229,0.42236313223838806,-0.4002593159675598","0.36715415120124817,0.4337405860424042,-0.41018664836883545","0.515800416469574,0.5983120799064636,-0.02934444323182106","0.2560555636882782,0.6976730227470398,-0.1840735524892807","0.6723343133926392,0.6677764058113098,-0.0775793269276619","0.15087653696537018,0.7320798635482788,-0.5445465445518494","0.8066948652267456,0.5197129249572754,-0.2550736665725708","0.17668893933296204,0.42092397809028625,-0.8266063332557678","0.875532329082489,0.49019649624824524,-0.27473750710487366","0.17002065479755402,0.33590009808540344,-0.8803653120994568","0.8685483932495117,0.4561716616153717,-0.3050377666950226","0.195207878947258,0.32064205408096313,-0.8460821509361267","0.8417291641235352,0.4684838652610779,-0.282255619764328","0.20485559105873108,0.47120895981788635,-0.8288885951042175","0.5414369702339172,1.3077751398086548,-0.027500318363308907","0.3369172215461731,1.356208324432373,0.030878448858857155","0.5653886795043945,1.845811128616333,-0.010328036732971668","0.37701931595802307,1.891761302947998,0.06757354736328125","0.5752561092376709,2.316401481628418,0.34632208943367004","0.3981131613254547,2.360417127609253,0.34977981448173523","0.5792843103408813,2.3750662803649902,0.3587074279785156","0.3933185338973999,2.4196672439575195,0.36633509397506714","0.5809227824211121,2.474669933319092,-0.02226247452199459","0.4416157305240631,2.5157411098480225,-0.0651581808924675"
left,"0.3747195303440094,0.37405723333358765,-0.5047704577445984","0.37235578894615173,0.3259526491165161,-0.4418962895870209","0.3788999021053314,0.3244602382183075,-0.44172823429107666","0.38535869121551514,0.32368233799934387,-0.4413567781448364","0.34996142983436584,0.33774083852767944,-0.44380491971969604","0.3403857946395874,0.34427565336227417,-0.4434642493724823","0.3309769034385681,0.3508950173854828,-0.44360479712486267","0.3968251645565033,0.3567333221435547,-0.15173032879829407","0.31372708082199097,0.39219599962234497,-0.16744621098041534","0.39568576216697693,0.42140352725982666,-0.4090590476989746","0.3668307363986969,0.4331097900867462,-0.4112229347229004","0.516610860824585,0.598660945892334,-0.03902912884950638","0.25632551312446594,0.6969686150550842,-0.17297577857971191","0.6746973395347595,0.6663360595703125,-0.06613323092460632","0.14925187826156616,0.7312806844711304,-0.572880208492279","0.8079716563224792,0.513923704624176,-0.1622958779335022","0.17283910512924194,0.40887877345085144,-0.9598404765129089","0.8765908479690552,0.4840657413005829,-0.15895843505859375","0.1569640189409256,0.3247377872467041,-1.020337700843811","0.8709888458251953,0.45004767179489136,-0.1935681700706482","0.18690136075019836,0.3136904537677765,-0.9884493350982666","0.8445423245429993,0.4615339934825897,-0.18757759034633636","0.19671812653541565,0.39459747076034546,-0.9666725397109985","0.5413233041763306,1.3074696063995361,-0.030569542199373245","0.33683550357818604,1.3549888134002686,0.03388145938515663","0.5652419328689575,1.8458040952682495,-0.041270796209573746","0.37702807784080505,1.8913573026657104,0.0774468258023262","0.5750020146369934,2.3177099227905273,0.3033333718776703","0.3976900279521942,2.3614892959594727,0.3510266840457916","0.5787865519523621,2.3761680126190186,0.315238893032074","0.3924565613269806,2.4200940132141113,0.3671421408653259","0.5808178782463074,2.4758903980255127,-0.06075979396700859","0.4409293830394745,2.51894211769104,-0.060714200139045715"
left,"0.3745490610599518,0.37223371863365173,-0.5548975467681885","0.3723243176937103,0.3252556025981903,-0.4859868586063385","0.3788878321647644,0.32399505376815796,-0.4858555793762207","0.38539817929267883,0.3234260678291321,-0.4854717254638672","0.34982502460479736,0.3369513750076294,-0.4958338737487793","0.3401412069797516,0.34371787309646606,-0.4954439401626587","0.3306408226490021,0.3504498600959778,-0.49561816453933716","0.39706388115882874,0.3565428853034973,-0.16362641751766205","0.3134019076824188,0.39193442463874817,-0.1997184008359909","0.3956556022167206,0.42116954922676086,-0.44636228680610657","0.36593762040138245,0.432620108127594,-0.4573090374469757","0.5172337293624878,0.5986777544021606,-0.030894337221980095","0.2563117444515228,0.6974756717681885,-0.19716967642307281","0.6775839328765869,0.665874183177948,-0.07780522853136063","0.14911755919456482,0.733323872089386,-0.6066277027130127","0.811470627784729,0.5130476355552673,-0.2735980451107025","0.17503558099269867,0.4166671335697174,-0.9805681705474854","0.8802956342697144,0.48406243324279785,-0.2921169698238373","0.16074533760547638,0.32834765315055847,-1.044066071510315","0.8728429675102234,0.45046266913414,-0.32178622484207153","0.18903525173664093,0.33648625016212463,-1.0128422975540161","0.846075713634491,0.4621272683143616,-0.30038779973983765","0.19310028851032257,0.4648701846599579,-0.9857184886932373","0.5428704619407654,1.3082079887390137,-0.025369053706526756","0.33681854605674744,1.3561617136001587,0.028845172375440598","0.565683901309967,1.8485194444656372,-0.032396916300058365","0.3769264221191406,1.8955689668655396,0.08445661514997482","0.5757541656494141,2.3196237087249756,0.35051393508911133","0.3976893723011017,2.3643226623535156,0.40171340107917786","0.5798085331916809,2.3795993328094482,0.3638618290424347","0.3924611806869507,2.423046112060547,0.4213833808898926","0.5809867978096008,2.4759507179260254,-0.058433838188648224","0.4413406252861023,2.521193504333496,-0.052177589386701584"
left,"0.3743690252304077,0.3719734847545624,-0.5667513012886047","0.3726794123649597,0.325020968914032,-0.5000617504119873","0.37943968176841736,0.3236028850078583,-0.4999564588069916","0.3863302767276764,0.3229200839996338,-0.49958980083465576","0.34976205229759216,0.33660125732421875,-0.50887131690979","0.34004560112953186,0.34345805644989014,-0.5084999799728394","0.3305736184120178,0.3503156006336212,-0.5086918473243713","0.39933153986930847,0.3560841977596283,-0.1783279925584793","0.3133440315723419,0.3915826678276062,-0.20948025584220886","0.39559614658355713,0.42050841450691223,-0.4589345157146454","0.36577463150024414,0.4319886565208435,-0.46850794553756714","0.5187608003616333,0.6009259223937988,-0.034269750118255615","0.2562973201274872,0.6985026597976685,-0.19865258038043976","0.6811521053314209,0.6673021912574768,-0.12696440517902374","0.14854973554611206,0.7338026165962219,-0.6008384823799133","0.8125787973403931,0.5145654678344727,-0.341369092464447","0.1740579605102539,0.42872682213783264,-0.959895670413971","0.8820481896400452,0.4842838943004608,-0.3605998158454895","0.15997178852558136,0.3584851920604706,-1.0216339826583862","0.8744965195655823,0.4510827660560608,-0.38607946038246155","0.18686015903949738,0.37233102321624756,-0.9890739917755127","0.8468460440635681,0.4631904661655426,-0.36560603976249695","0.1739051192998886,0.5020269155502319,-0.9647531509399414","0.5427969098091125,1.3156561851501465,-0.02465136907994747","0.3365987539291382,1.3594104051589966,0.028003640472888947","0.5648384690284729,1.8570783138275146,0.012587700970470905","0.37569138407707214,1.901060938835144,0.09027961641550064","0.5726702213287354,2.3272032737731934,0.4157353937625885","0.39301225543022156,2.3715105056762695,0.40691810846328735","0.5765098333358765,2.386826515197754,0.43208232522010803","0.3874616026878357,2.4302754402160645,0.4270664155483246","0.5748127698898315,2.4876298904418945,0.03947724029421806","0.43596187233924866,2.5318193435668945,-0.036071471869945526"
