position,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32]
left,"0.4210304021835327,0.2969869375228882,-0.21344490349292755","0.4346795678138733,0.2612929940223694,-0.1684437245130539","0.44451192021369934,0.26259148120880127,-0.16836366057395935","0.45443207025527954,0.26471883058547974,-0.16814634203910828","0.40604013204574585,0.2615997791290283,-0.16901220381259918","0.39515000581741333,0.2635747790336609,-0.1687147617340088","0.38441401720046997,0.26637953519821167,-0.1692773848772049","0.46564263105392456,0.29650646448135376,0.04463258758187294","0.3646591603755951,0.29873865842819214,0.05377497151494026","0.43955543637275696,0.3508293628692627,-0.14071416854858398","0.4044059216976166,0.35153454542160034,-0.1401582509279251","0.5405153632164001,0.5743813514709473,0.07146165519952774","0.2946224808692932,0.5590854287147522,0.04906056448817253","0.5767504572868347,0.8039661049842834,-0.26964953541755676","0.179276242852211,0.6840822100639343,-0.3362492024898529","0.5338821411132812,0.5705469846725464,-0.5957598090171814","0.3796742260456085,0.49087727069854736,-0.6081110239028931","0.5332280993461609,0.5325428247451782,-0.6660493016242981","0.41910871863365173,0.4513298273086548,-0.6822983026504517","0.5296298265457153,0.4992755353450775,-0.6206327080726624","0.42634084820747375,0.42022693157196045,-0.6014901399612427","0.5211078524589539,0.5244302749633789,-0.5927373170852661","0.4174034297466278,0.45033448934555054,-0.587833046913147","0.4892980754375458,1.1702172756195068,-0.016561130061745644","0.30650457739830017,1.1543010473251343,0.01978709176182747","0.4894877076148987,1.6196236610412598,-0.046802110970020294","0.3318784832954407,1.6054770946502686,0.10453545302152634","0.4800029695034027,2.016080617904663,0.1903664618730545","0.31417912244796753,2.003180503845215,0.3175360858440399","0.48613929748535156,2.0762054920196533,0.19562406837940216","0.3030230700969696,2.0631752014160156,0.3306608200073242","0.44650211930274963,2.153549909591675,-0.11218774318695068","0.33647236227989197,2.1438522338867188,0.008064448833465576"
left,"0.4201974868774414,0.29708439111709595,-0.21745184063911438","0.4330028295516968,0.2611430585384369,-0.17493563890457153","0.44252142310142517,0.262560099363327,-0.1748337745666504","0.4513096213340759,0.2647301256656647,-0.1745840162038803","0.4031081795692444,0.2616225481033325,-0.17337287962436676","0.3924001157283783,0.26383018493652344,-0.1731054037809372","0.38231101632118225,0.2668449878692627,-0.17356620728969574","0.4607611298561096,0.29708921909332275,0.02725130133330822","0.36465808749198914,0.2992800772190094,0.049177609384059906","0.4391292631626129,0.3524216413497925,-0.14855413138866425","0.4019760489463806,0.35232335329055786,-0.14481359720230103","0.5403622984886169,0.5818160176277161,0.07121335715055466","0.28948697447776794,0.5594323873519897,0.048080723732709885","0.6102515459060669,0.8428794741630554,-0.24077816307544708","0.1787678301334381,0.6743861436843872,-0.33792296051979065","0.6062271595001221,0.6419149041175842,-0.5738791227340698","0.3132092356681824,0.4326149821281433,-0.7091396450996399","0.6150687336921692,0.608418881893158,-0.641002893447876","0.3336433470249176,0.3689023554325104,-0.7902830243110657","0.5880334973335266,0.5163304209709167,-0.5992590188980103","0.34325358271598816,0.34876561164855957,-0.7258854508399963","0.5623883008956909,0.5323182344436646,-0.5728899836540222","0.34317123889923096,0.3849869966506958,-0.7012230753898621","0.489168256521225,1.1939538717269897,-0.017249882221221924","0.30606672167778015,1.1699175834655762,0.02053963951766491","0.48683032393455505,1.6639766693115234,-0.05313264951109886","0.33120888471603394,1.6508668661117554,0.1005176454782486","0.4755529463291168,2.085782527923584,0.190065398812294","0.31387951970100403,2.0677742958068848,0.3142862021923065","0.4805682301521301,2.147536516189575,0.19517798721790314","0.30257076025009155,2.125265598297119,0.327495276927948","0.44621074199676514,2.221292018890381,-0.11591176688671112","0.3368614912033081,2.2195353507995605,-0.0017899918602779508"
left,"0.41896018385887146,0.2983533442020416,-0.23921850323677063","0.4300689995288849,0.26127368211746216,-0.20011208951473236","0.4391891658306122,0.2627587914466858,-0.19992336630821228","0.4471955895423889,0.26504772901535034,-0.19964280724525452","0.40057140588760376,0.2622753083705902,-0.19305633008480072","0.3905009925365448,0.2647636830806732,-0.19277365505695343","0.38114622235298157,0.26773500442504883,-0.19303451478481293","0.45542433857917786,0.2977553904056549,-0.0077932751737535","0.36451733112335205,0.2994440793991089,0.03442235663533211","0.43738609552383423,0.35421648621559143,-0.17532075941562653","0.40052953362464905,0.35384586453437805,-0.16518878936767578","0.5323650240898132,0.5835840702056885,0.03125100955367088","0.28446340560913086,0.5606737732887268,0.05593061447143555","0.6122422814369202,0.8030903339385986,-0.2416444569826126","0.17433984577655792,0.6690148115158081,-0.3295712471008301","0.6081331968307495,0.5895975232124329,-0.5453976392745972","0.19918380677700043,0.34522271156311035,-0.7444398403167725","0.6211228966712952,0.5437171459197998,-0.6074796915054321","0.2010207623243332,0.2542777359485626,-0.830003023147583","0.6043833494186401,0.4966230094432831,-0.5655950903892517","0.2250111848115921,0.23633740842342377,-0.7673433423042297","0.5701503157615662,0.5321181416511536,-0.542508065700531","0.2299852818250656,0.26698631048202515,-0.7404027581214905","0.4886977970600128,1.1980478763580322,-0.02639908902347088","0.3064363896846771,1.1782945394515991,0.02987908571958542","0.4853731691837311,1.6812983751296997,-0.06577473878860474","0.33124321699142456,1.6762977838516235,0.09840020537376404","0.4753904938697815,2.114048480987549,0.1865054965019226","0.3154822885990143,2.1044533252716064,0.2984010875225067","0.4804627299308777,2.176978588104248,0.19158215820789337","0.30449002981185913,2.16198992729187,0.30983275175094604","0.44792091846466064,2.246347427368164,-0.11878129839897156","0.3415026068687439,2.2575933933258057,-0.02587614208459854"
left,"0.4084724187850952,0.314883828163147,-0.2720770835876465","0.42095091938972473,0.27406084537506104,-0.22985370457172394","0.43064916133880615,0.27628809213638306,-0.22965388000011444","0.43891289830207825,0.27941760420799255,-0.22947454452514648","0.3911439776420593,0.2735941410064697,-0.229038804769516","0.3818128705024719,0.2752682566642761,-0.22874481976032257","0.37337547540664673,0.27737611532211304,-0.22896674275398254","0.448200523853302,0.3141433596611023,-0.01545591838657856","0.359456330537796,0.30903443694114685,-0.0011750402627512813","0.4279538094997406,0.3708586096763611,-0.19796214997768402","0.39100897312164307,0.36535540223121643,-0.19557441771030426","0.5191124677658081,0.5927560329437256,0.03765416517853737","0.2719203531742096,0.5632724165916443,0.012414977885782719","0.5890935659408569,0.8814882636070251,-0.25251325964927673","0.17547033727169037,0.667327344417572,-0.3768649101257324","0.5975948572158813,0.6068080067634583,-0.5848121047019958","0.26600635051727295,0.35363665223121643,-0.7655042409896851","0.6089860796928406,0.5624033212661743,-0.6604288816452026","0.29159775376319885,0.3035140931606293,-0.8521085977554321","0.5959291458129883,0.5242141485214233,-0.6179298758506775","0.30688077211380005,0.2555316686630249,-0.7933894991874695","0.5630075931549072,0.5347916483879089,-0.5838814973831177","0.3035289943218231,0.27532604336738586,-0.7590434551239014","0.47984033823013306,1.204492211341858,-0.02591029368340969","0.30169183015823364,1.1855963468551636,0.029339732602238655","0.47469744086265564,1.6899968385696411,-0.06405188143253326","0.32700273394584656,1.6830466985702515,0.04325980320572853","0.4627222418785095,2.1257195472717285,0.1925569474697113","0.31150540709495544,2.1147656440734863,0.18444767594337463","0.4681537449359894,2.1897876262664795,0.19803696870803833","0.3004588186740875,2.1740756034851074,0.18919537961483002","0.4364594519138336,2.2575886249542236,-0.10688315331935883","0.33767595887184143,2.26659893989563,-0.14985109865665436"
left,"0.4005918800830841,0.3258538842201233,-0.2864929437637329","0.4115540385246277,0.28453075885772705,-0.24573273956775665","0.4210643470287323,0.28766122460365295,-0.24555549025535583","0.4293314814567566,0.2915804982185364,-0.2454102337360382","0.38316860795021057,0.2832659184932709,-0.25016888976097107","0.37416592240333557,0.2848316431045532,-0.24996665120124817","0.36586418747901917,0.2867133617401123,-0.2502700984477997","0.4382280707359314,0.32678839564323425,-0.026353592053055763","0.35153573751449585,0.31946539878845215,-0.03316153958439827","0.41925403475761414,0.3794386088848114,-0.20854909718036652","0.38249731063842773,0.3744482696056366,-0.21191884577274323","0.5031388998031616,0.5978631377220154,0.04233105480670929","0.2638680040836334,0.5639781951904297,-0.05488109588623047","0.5990201234817505,0.8682757616043091,-0.21456629037857056","0.22240988910198212,0.7395825386047363,-0.42784276604652405","0.6181991100311279,0.6861478686332703,-0.5313785076141357","0.385921835899353,0.4527864158153534,-0.7252712249755859","0.6399160027503967,0.6734733581542969,-0.596912145614624","0.4288478493690491,0.40814656019210815,-0.8044877648353577","0.6248401999473572,0.5471326112747192,-0.574776828289032","0.43556371331214905,0.37225839495658875,-0.7355957627296448","0.5939372181892395,0.5633894205093384,-0.5374237895011902","0.4254322946071625,0.39750179648399353,-0.7111423015594482","0.4772423803806305,1.2090939283370972,-0.02264057658612728","0.2952376902103424,1.1951920986175537,0.026006847620010376","0.47418636083602905,1.6888810396194458,-0.0521387904882431","0.3247835338115692,1.6868431568145752,0.04963231086730957","0.463879257440567,2.123061180114746,0.20874746143817902","0.3117736876010895,2.115212917327881,0.2235897183418274","0.46904847025871277,2.1890172958374023,0.21513359248638153","0.3010862171649933,2.175370931625366,0.23186609148979187","0.43860647082328796,2.258216142654419,-0.09311739355325699","0.3406118154525757,2.2662971019744873,-0.10672562569379807"
left,"0.3962866961956024,0.3337651789188385,-0.27230632305145264","0.4054252803325653,0.29216405749320984,-0.23039759695529938","0.4147176146507263,0.2948126792907715,-0.2302556335926056","0.42298853397369385,0.298301637172699,-0.23007817566394806","0.3775925636291504,0.2921757102012634,-0.23403064906597137","0.3684642016887665,0.2940806746482849,-0.233845055103302","0.35989072918891907,0.2963738441467285,-0.23423440754413605","0.4319502115249634,0.3324073851108551,-0.013947243802249432","0.34335988759994507,0.3283799886703491,-0.01763288304209709","0.41479817032814026,0.38400888442993164,-0.1960279643535614","0.3784831166267395,0.3805376887321472,-0.1982390284538269","0.4961434602737427,0.5981082320213318,0.06332455575466156","0.2567613422870636,0.5673123002052307,-0.05228068679571152","0.5997511744499207,0.8015825152397156,-0.24517960846424103","0.1936841756105423,0.6855239272117615,-0.46998223662376404","0.6219139099121094,0.6622482538223267,-0.6484971642494202","0.3760262131690979,0.4741300344467163,-0.8071116209030151","0.6472938060760498,0.6497071981430054,-0.7273448705673218","0.41471368074417114,0.43109822273254395,-0.8913750052452087","0.6310425400733948,0.5446324944496155,-0.6995052099227905","0.42217889428138733,0.39685264229774475,-0.8244556188583374","0.6095978021621704,0.5631641149520874,-0.6561073064804077","0.4133996367454529,0.42335736751556396,-0.7921608090400696","0.4735659658908844,1.2154901027679443,-0.010296140797436237","0.28784263134002686,1.2022430896759033,0.013476594351232052","0.47405776381492615,1.6908036470413208,-0.024271948263049126","0.3189869523048401,1.6868427991867065,0.013575045391917229","0.46461740136146545,2.1203970909118652,0.24087770283222198","0.30859845876693726,2.112319231033325,0.16963815689086914","0.4700791537761688,2.185312032699585,0.24798661470413208","0.2973010241985321,2.17293381690979,0.17546547949314117","0.4424017369747162,2.2598559856414795,-0.06395760923624039","0.3405986428260803,2.2625484466552734,-0.16635717451572418"
left,"0.392383873462677,0.33894994854927063,-0.23079869151115417","0.39958590269088745,0.2971394956111908,-0.1820477545261383","0.4081527590751648,0.29924526810646057,-0.18212631344795227","0.41583287715911865,0.3019919693470001,-0.18193046748638153","0.37317848205566406,0.29803356528282166,-0.20832471549510956","0.363921582698822,0.30016186833381653,-0.20856863260269165","0.35508206486701965,0.30256637930870056,-0.20922018587589264","0.4220958352088928,0.33344516158103943,0.06489197164773941","0.33584707975387573,0.3332217335700989,-0.010850866325199604","0.4092367887496948,0.3872137665748596,-0.13795825839042664","0.37373554706573486,0.3864499628543854,-0.16782011091709137","0.4821675419807434,0.5973992347717285,0.1609524041414261","0.2483789622783661,0.5662059187889099,-0.09412993490695953","0.5994165539741516,0.7275933623313904,-0.24595420062541962","0.19269497692584991,0.6827375292778015,-0.5348451733589172","0.6164705157279968,0.612185001373291,-0.7570484280586243","0.40793073177337646,0.5036361217498779,-0.8016912341117859","0.6509473919868469,0.5752168297767639,-0.8509721159934998","0.4568006098270416,0.4731501340866089,-0.8770145177841187","0.6221967339515686,0.5410444736480713,-0.8204607367515564","0.4608697295188904,0.4341156482696533,-0.8201479315757751","0.6039693355560303,0.5602078437805176,-0.7664057016372681","0.44564542174339294,0.45636117458343506,-0.7843204140663147","0.4657284915447235,1.2139174938201904,0.02390698529779911","0.2823074460029602,1.203174352645874,-0.02160804159939289","0.47325167059898376,1.6856534481048584,-0.02160680666565895","0.3171263337135315,1.681082010269165,-0.09782655537128448","0.46776625514030457,2.114492177963257,0.2328173816204071","0.308649480342865,2.1175143718719482,0.022553609684109688","0.47100770473480225,2.1791279315948486,0.23902887105941772","0.2974543273448944,2.1820199489593506,0.02240406535565853","0.45484134554862976,2.256394147872925,-0.07143715023994446","0.34132277965545654,2.26132869720459,-0.3257874548435211"
left,"0.382707417011261,0.33738434314727783,-0.2310767024755478","0.3918505609035492,0.2972605228424072,-0.18415090441703796","0.4002467393875122,0.299612820148468,-0.1841871738433838","0.4077921509742737,0.3025757074356079,-0.1839868724346161","0.36514467000961304,0.29709985852241516,-0.2112104445695877","0.35548287630081177,0.29882684350013733,-0.21140341460704803","0.3461410105228424,0.30088600516319275,-0.21202929317951202","0.4123236835002899,0.33279499411582947,0.06390494108200073","0.3250426650047302,0.33127832412719727,-0.03197178989648819","0.39819949865341187,0.38556843996047974,-0.1418232023715973","0.36146464943885803,0.3847527801990509,-0.17090357840061188","0.46191129088401794,0.5916423797607422,0.17962174117565155","0.23737280070781708,0.5602026581764221,-0.13962627947330475","0.5920317769050598,0.6328022480010986,-0.20416364073753357","0.22800074517726898,0.7396628856658936,-0.5803238153457642","0.6263936161994934,0.5648194551467896,-0.6924460530281067","0.4169035255908966,0.5245200395584106,-0.8262653946876526","0.6789793372154236,0.5507380962371826,-0.7766923904418945","0.46805283427238464,0.49876919388771057,-0.9014871120452881","0.662083625793457,0.5389983654022217,-0.7554996013641357","0.4736354649066925,0.4558538794517517,-0.8480793833732605","0.6365038156509399,0.5587445497512817,-0.703430712223053","0.4572153389453888,0.4773637652397156,-0.8077448606491089","0.4448779821395874,1.2116574048995972,0.03641853109002113","0.2653568685054779,1.2009607553482056,-0.03426431119441986","0.4540342390537262,1.6712905168533325,-0.02004767581820488","0.2990903854370117,1.6739730834960938,-0.11780453473329544","0.45540717244148254,2.1124107837677,0.23150403797626495","0.292428582906723,2.110414505004883,-0.013539214618504047","0.45598188042640686,2.177530527114868,0.23744717240333557","0.28198665380477905,2.1757681369781494,-0.01521555706858635","0.4459112286567688,2.2498183250427246,-0.07671381533145905","0.3298446238040924,2.2531375885009766,-0.35724830627441406"
left,"0.3780115842819214,0.35221800208091736,-0.23397278785705566","0.38705000281333923,0.31116783618927,-0.18529894948005676","0.3950081765651703,0.31373587250709534,-0.18529582023620605","0.4019315540790558,0.31641829013824463,-0.18511220812797546","0.36010071635246277,0.3080489933490753,-0.2192503809928894","0.3499315679073334,0.30874770879745483,-0.21942074596881866","0.33983030915260315,0.3098815381526947,-0.21999548375606537","0.40332019329071045,0.34169915318489075,0.07141628116369247","0.3160417377948761,0.3373732268810272,-0.05670611187815666","0.39161938428878784,0.3973741829395294,-0.14230336248874664","0.3555887043476105,0.3985396921634674,-0.17732271552085876","0.4549669325351715,0.5918049216270447,0.21378615498542786","0.23184512555599213,0.5632275342941284,-0.203888401389122","0.5882514119148254,0.6226125359535217,-0.14875911176204681","0.2629903554916382,0.7398795485496521,-0.6834989190101624","0.6510814428329468,0.5619267225265503,-0.6707895994186401","0.5333967208862305,0.546349287033081,-0.8775873780250549","0.6948896050453186,0.5435916781425476,-0.7735348343849182","0.5293337106704712,0.5263402462005615,-0.9487301707267761","0.679793119430542,0.5395478010177612,-0.7189570665359497","0.5336534976959229,0.4867846369743347,-0.8953075408935547","0.6551522016525269,0.557179868221283,-0.6802614331245422","0.5126824975013733,0.5071633458137512,-0.8571012020111084","0.4392138421535492,1.2262822389602661,0.061788491904735565","0.26309555768966675,1.220624566078186,-0.05969709903001785","0.45025384426116943,1.6795694828033447,0.013504426926374435","0.2975977957248688,1.6901830434799194,-0.10298893600702286","0.4508107006549835,2.1242012977600098,0.2678448557853699","0.29291924834251404,2.1458606719970703,0.022858042269945145","0.44939419627189636,2.189556360244751,0.2743597626686096","0.2813059687614441,2.2159078121185303,0.023035330697894096","0.4457569718360901,2.264634132385254,-0.02284207008779049","0.3324527442455292,2.2808563709259033,-0.31665554642677307"
left,"0.37007012963294983,0.3515321612358093,-0.26849502325057983","0.3806234300136566,0.31161290407180786,-0.20819376409053802","0.38916975259780884,0.3147534728050232,-0.20827345550060272","0.3966031074523926,0.3180484175682068,-0.20797234773635864","0.352780282497406,0.3083644211292267,-0.2515319883823395","0.34271040558815,0.3094923198223114,-0.25161388516426086","0.33264249563217163,0.3110179007053375,-0.2521279752254486","0.39784541726112366,0.34465381503105164,0.07207047939300537","0.30836963653564453,0.3400794565677643,-0.08648063242435455","0.38348686695098877,0.3973798453807831,-0.1568605601787567","0.3470373749732971,0.3990010619163513,-0.21041034162044525","0.4545615613460541,0.6011060476303101,0.22662846744060516","0.2247387021780014,0.57448810338974,-0.2594175636768341","0.5898024439811707,0.6384357810020447,-0.15193471312522888","0.30252695083618164,0.7427183389663696,-0.7116095423698425","0.6496307253837585,0.5650619268417358,-0.6650918126106262","0.5758278369903564,0.5571131110191345,-0.8215713500976562","0.6984081864356995,0.5506325960159302,-0.755725085735321","0.632175087928772,0.5671194195747375,-0.8942813873291016","0.6890134811401367,0.5514607429504395,-0.7363365292549133","0.6449377536773682,0.5417358875274658,-0.8349767327308655","0.6631907224655151,0.5627824664115906,-0.68189537525177","0.6148960590362549,0.546485424041748,-0.802096962928772","0.43814656138420105,1.2370606660842896,0.07196955382823944","0.26284950971603394,1.2376067638397217,-0.0697256475687027","0.4493291676044464,1.690897822380066,0.0013518139021471143","0.29853469133377075,1.70443856716156,-0.13366512954235077","0.4442652463912964,2.142595052719116,0.2550880014896393","0.2922915518283844,2.169919013977051,-0.01828436367213726","0.44126325845718384,2.2061607837677,0.2626460790634155","0.2790861129760742,2.241913318634033,-0.020429888740181923","0.442806601524353,2.287005662918091,-0.03907569497823715","0.3326866924762726,2.301314115524292,-0.367182195186615"
